Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector_Warm(bar),P_Fuel_Injector_Cold(bar),P_Ox_Injector(bar),Fuel_Flow_Rate(L/s),Ox_Valve_Angle(deg),Fuel_Valve_Angle(deg),P_Ox_Tank(bar),P_N2_Tank(bar),Engine_Temperature(K),Tank_Mass(kg),Thrust(N)
5374.8029272556305,32.960655212402344,1.0123015642166138,0.9498931169509888,1.1643624305725098,0.8822556138038635,0.0,0.0,0.0,33.45259094238281,199.0211334228516,12.90625,1.7245523929595947,55.83510971069336
5374.811351060867,32.960655212402344,1.0123015642166138,0.9498931169509888,1.1643624305725098,0.8822556138038635,0.0,0.0,0.0,33.46673263140992,199.0335420617528,,1.7137114259065962,55.616676072828646
5374.8233234882355,32.953093835564836,1.0115486770462256,0.9438475331598284,1.1532305354953083,0.8887250259469299,0.0,0.0,0.0,33.48683166503906,199.0511779785156,12.890625,1.6983035802841189,55.30622482299805
5374.830582618713,32.948509216308594,1.011092185974121,0.9401819705963136,1.1464810371398926,0.8926475644111633,0.0,0.0,0.0,33.480522962516964,199.02930215847468,,1.7133417164740095,55.358691823692006
5374.844230175018,32.96362811436408,1.012005603874549,0.9429585498905102,1.1478576063499613,0.8885994341274349,0.0,0.0,0.0,33.46866226196289,198.98817443847656,12.890625,1.7416142225265503,55.457332611083984
5374.8515429496765,32.97172927856445,1.012495040893555,0.944446325302124,1.1485952138900757,0.8864303231239319,0.0,0.0,0.0,33.46318152218692,198.97535615948604,,1.7341512336614266,53.595604844989715
5374.863520622253,32.98608677212677,1.0132696652371151,0.9407281055470137,1.1552312025187788,0.8841924908322318,0.0,0.0,0.0,33.45420455932617,198.9543609619141,12.890625,1.721927523612976,50.54626083374024
5374.8764770030975,33.001617431640625,1.014107584953308,0.9367060661315918,1.162409424781799,0.8817718029022217,0.0,0.0,0.0,33.49432924620761,198.9694469821232,,1.7203499254035122,52.8621712795822
5374.885077953339,32.979497935809725,1.0133135594092706,0.9363062335154405,1.1583071368196265,0.8877853333332825,0.0,0.0,0.0,33.520965576171875,198.97946166992188,12.890625,1.7193026542663574,54.39956283569336
5374.895748138428,32.952056884765625,1.0123285055160522,0.9358102083206176,1.153217911720276,0.8952456116676331,0.0,0.0,0.0,33.509390497205295,198.96569761957903,,1.7286984777804957,53.65062161471106
5374.904453754425,32.954673597044426,1.0126539288197067,0.9388979691909687,1.1576029743320921,0.896808446104751,0.0,0.0,0.0,33.49994659423828,198.9544677734375,12.890625,1.7363643646240234,53.0395736694336
5374.916307926178,32.95823669433594,1.013097047805786,0.943102478981018,1.163573980331421,0.8989365100860596,0.0,0.0,0.0,33.49286303241746,198.93974998421263,,1.7198587373762677,53.45270426569895
5374.926133155823,32.95172876371456,1.012723703402103,0.941420666786396,1.15506398824723,0.8902331040046363,0.0,0.0,0.0,33.48699188232422,198.92755126953125,12.9140625,1.7061781883239746,53.79512405395508
5374.937242507935,32.94437026977539,1.0123015642166138,0.9395190477371216,1.1454417705535889,0.8803921937942505,0.0,0.0,0.0,33.453870342102384,198.97559258662787,,1.7159303803141486,53.714922913832375
