Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector(bar),P_Ox_Injector(bar),Fuel_Flow_Rate(L/s),Ox_Valve_Angle(deg),Fuel_Valve_Angle(deg),P_Ox_Tank(bar),P_N2_Tank(bar),T_Fuel_Post_Channels(C),T_Fuel_Pre_Channels(C),Ox_Mass(kg),Thrust(N)
-1.48821874999976,46.55702590942383,1.0301750898361206,0.9626790285110474,1.1846526861190796,0.0,0.0,0.0,46.653621673583984,251.74142456054688,14.296875,24.75,6.002258549650389,3.016780376434326
-1.4665563964845205,46.55514907836914,1.0695995092391968,1.0076531171798706,1.1194339990615845,0.0,0.0,0.0,46.74095153808594,251.6898956298828,14.296875,24.75,6.093481532416698,4.8079938888549805
-1.4455705566406323,46.5630989074707,1.0552363395690918,0.990532636642456,1.14678156375885,0.0,0.0,0.0,46.655052185058594,251.8503570556641,14.28125,24.75,6.0678246796556445,4.8079938888549805
-1.4216684570310463,46.53485870361328,1.0403846502304075,1.012086033821106,1.1521393060684204,0.0,0.0,0.0,46.71774291992188,251.5484771728516,14.28125,24.75,6.0949063082353785,3.5824265480041504
-1.381512939453387,46.54446029663086,1.0512572526931765,0.9766930937767028,1.0835175514221191,0.0,0.0,0.0,46.69130325317383,251.64358520507807,14.28125,24.796875,6.073526893794597,1.6498017311096191
-1.3786271972658142,46.55415344238281,1.0249569416046145,0.9707069993019104,1.1588584184646606,0.0,0.0,0.0,46.67763519287109,251.73208618164065,14.28125,24.796875,6.121989492247228,4.053798675537109
-1.3523891601562354,46.57406234741211,1.015358328819275,0.9958904385566713,1.1207081079483032,0.0,0.0,0.0,46.63463592529297,251.63888549804688,14.1875,24.828125,6.062124020948808,3.770975351333618
-1.3398784179689756,46.5528564453125,1.0021470785140991,0.9766756296157836,1.193012237548828,0.0,0.0,0.0,46.68922424316406,251.5902404785156,14.1875,24.828125,6.119138385177752,4.28948450088501
-1.320457763671584,46.55410003662109,1.0517808198928833,0.9758204817771912,1.131249189376831,0.0,0.0,0.0,46.72095489501953,251.739013671875,14.1875,24.828125,6.069251010906441,4.8079938888549805
-1.298753906249658,46.5555419921875,1.0670863389968872,0.9768326878547668,1.1541463136672974,0.0,0.0,0.0,46.64369201660156,251.8096466064453,14.1875,24.828125,6.089205649528542,3.5352895259857178
-1.2789294433596297,46.5432243347168,1.0514317750930786,0.986431360244751,1.1682301759719849,0.0,0.0,0.0,46.6848258972168,251.6614532470703,14.2578125,24.828125,6.099182191123535,3.5352895259857178
-1.2563754882812646,46.56969833374024,1.0304194688796997,0.9618064165115356,1.1467117071151731,0.0,0.0,0.0,46.70001220703125,251.3808135986328,14.2578125,24.796875,6.053570699740379,4.28948450088501
