Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector(bar),P_Ox_Tank(bar),W_Tank(N),Thrust(N),Fuel_Flow_Rate(L/s)
0.0,45.546191,1.179989,1.0664090000000002,46.695416,-253.116913,0.0,0.0
0.005017000001316774,45.559249,1.110685,1.0528659999999999,46.710983,-253.116913,0.8484700000000003,0.0
0.011015000000043074,45.570930000000004,1.092969,1.050841,46.728573,-254.025803,0.8013319999999999,0.0
0.01705700000093202,45.548320000000004,1.086156,1.0251869999999998,46.69442,-253.466492,0.047137000000000207,0.0
0.02301400000033027,45.573276,1.1079109999999999,1.043424,46.680931,-252.823273,1.1312930000000003,0.0
0.028028000000631437,45.585918,1.0632329999999999,1.024785,46.677735,-253.452499,1.414116,0.0
0.03400000000146974,45.529254,1.030673,1.020597,46.690582,-253.564362,2.4039970000000004,0.0
0.03916700000081619,45.516349,1.031695,1.0046279999999999,46.64304,-253.242767,1.2255670000000003,0.0
0.04511100000127044,45.579307,1.070095,1.020597,46.629619999999996,-253.130905,0.9427440000000002,0.0
0.050721000001431094,45.564407,1.10246,1.036932,46.684227,-254.23555,0.707058,0.0
0.05601600000045437,45.534675,1.169428,1.0201609999999999,46.706951,-253.774109,0.989881,0.0
0.061262000001079286,45.538753,1.1187639999999999,1.034576,46.640267,-252.963104,1.555527,0.0
0.06761700000060955,45.584861000000004,1.070436,1.0711559999999998,46.660633,-253.256744,-0.047137000000000207,0.0
0.07301400000142166,45.572448,1.1173039999999999,1.005344,46.662464,-253.927917,0.6599210000000002,0.0
0.07901500000116357,45.51818,1.148062,1.058363,46.702118,-252.851242,1.602665,0.0
0.08500000000094587,45.567168,1.1603759999999999,1.0578400000000001,46.664105,-252.935135,-0.5656460000000001,0.0
0.09016200000041863,45.573047,1.169915,1.0469499999999998,46.660858,-254.067749,1.602665,0.0
0.09601400000065041,45.539592,1.089124,1.01852,46.674053,-253.396576,2.2154480000000003,0.0
0.1020570000000589,45.573776,1.066153,1.034087,46.751244,-252.711411,-0.5656460000000001,0.0
0.10785000000032596,45.585014,1.035443,1.0340349999999998,46.768696,-253.466492,1.1312930000000003,0.0
0.11301400000047579,45.566882,1.03004,1.020248,46.704525,-253.983856,1.791213,0.0
0.11900000000059663,45.511810000000004,1.138475,1.033093,46.661643999999995,-252.935135,1.3198410000000003,0.0
0.1240140000008978,45.584270000000004,1.110636,1.048922,46.683861,-252.963104,-0.707058,0.0
0.12903300000107265,45.579841,1.03223,1.019812,46.701279,-253.802078,0.14141199999999987,0.0
0.1350380000003497,45.539474,1.124263,1.0341399999999998,46.649166,-253.885971,0.895607,0.0
0.14101400000072317,45.533931,1.142563,1.032395,46.651768,-253.116913,1.6498020000000002,0.0
0.1470610000014858,45.563373,1.0316459999999998,1.033738,46.608295999999996,-253.774109,2.35686,0.0
0.15300700000079814,45.567638,1.03043,1.034367,46.694297999999996,-254.011826,1.885488,0.0
0.1590150000010908,45.522098,1.082943,1.044175,46.633964999999996,-253.228775,0.707058,0.0
0.16501400000015565,45.565181,1.167579,1.0387119999999999,46.59428,-253.298691,0.989881,0.0
0.1710000000002765,45.551418,1.036903,1.036217,46.661556,-253.927917,1.272704,0.0
0.1760150000009162,45.551177,1.0792929999999998,0.9807539999999999,46.696129,-253.871994,0.8484700000000003,0.0
0.18218900000101712,45.583888,1.048875,1.051086,46.71423,-253.438522,0.707058,0.0
0.1874310000002879,45.596259,1.060458,1.036531,46.65873,-253.760132,0.4242349999999999,0.0
0.1925890000002255,45.585883,1.030673,1.021836,46.642604999999996,-254.095718,1.555527,0.0
0.1980149999999412,45.519077,1.031403,1.032674,46.691714999999995,-252.823273,1.3198410000000003,0.0
0.2039999999997235,45.56517,1.068489,1.022918,46.703617,-253.200821,1.272704,0.0
0.20901500000036322,45.578445,1.030576,1.039114,46.752274,-253.536407,1.6498020000000002,0.0
0.21467200000006414,45.520015,1.1879709999999999,1.046967,46.706288,-253.606323,0.7541950000000002,0.0
0.22011100000054284,45.532394000000004,1.047659,1.053389,46.678906,-253.214798,2.074036,0.0
0.2260150000001886,45.587608,1.0294079999999999,1.047403,46.680458,-253.578354,1.4612530000000001,0.0
0.23187000000143598,45.576091,1.0741829999999999,1.020963,46.687649,-254.025803,0.5185090000000003,0.0
0.23700000000098953,45.524528000000004,1.073112,1.004925,46.728085,-253.91394,0.7541950000000002,0.0
0.24201499999981024,45.562118,1.113897,1.0379269999999998,46.685745,-252.781326,0.28282300000000005,0.0
0.2480150000010326,45.574191,1.075594,1.01955,46.726917,-253.885971,0.7541950000000002,0.0
0.2530240000014601,45.550369,1.103287,1.0051169999999998,46.688590999999995,-254.263504,1.17843,0.0
0.2590150000014546,45.515563,1.082408,1.063285,46.723881,-252.907181,0.707058,0.0
0.2650450000001001,45.578685,1.056614,1.037142,46.730545,-252.991074,0.6127830000000003,0.0
0.2710320000005595,45.556327,1.087372,1.010405,46.727841,-254.137665,0.32996000000000025,0.0
0.2760600000001432,45.520549,1.13059,1.026688,46.693253,-253.830048,0.9427440000000002,0.0
0.28201500000068336,45.576286,1.086399,1.01749,46.728381999999996,-253.130905,0.8484700000000003,0.0
0.28800000000046566,45.568652,1.172543,0.9933369999999999,46.74252,-253.64827,0.989881,0.0
0.2930160000014439,45.546237,1.127135,1.00482,46.689114,-254.207581,1.555527,0.0
0.29832900000110385,45.519981,1.1579419999999998,1.020213,46.712883,-252.781326,1.5083900000000003,0.0
0.30405700000119396,45.567104,1.163637,1.0115919999999998,46.65292,-253.270737,1.696939,0.0
