Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector(bar),P_Ox_Tank(bar),W_Tank(N),Thrust(N),Fuel_Flow_Rate(L/s)
0.0,49.495149,0.6810849999999999,0.9955189999999999,0.784889,-276.42627,0.0,0.0
0.005054000000200176,49.519475,0.645995,0.988695,0.7407,-277.279236,0.37709799999999927,0.0
0.010522000000491971,49.541128,0.6629309999999999,1.000545,0.770282,-277.586853,1.2727049999999993,0.0
0.016805000000204018,49.507191999999996,0.584915,0.964384,0.829566,-276.538147,1.6498019999999998,0.0
0.02208500000051572,49.520795,0.615966,0.9978049999999999,0.715412,-277.768616,0.6599209999999998,0.0
0.028052000000570843,49.548249999999996,0.536344,1.004664,0.7363200000000001,-278.062256,-0.23568500000000014,0.0
0.03362400000060006,49.508623,0.735643,0.955344,0.6744870000000001,-276.733887,0.5656469999999993,0.0
0.03933000000051834,49.486719,0.711308,0.9950479999999999,0.710368,-276.608063,0.6599209999999998,0.0
0.0444260000003851,49.517164,0.663467,1.00503,0.723632,-277.712677,-0.8013320000000004,0.0
0.050054000000272936,49.55245,0.734815,0.969061,0.7175590000000001,-277.069489,0.7541959999999994,0.0
0.05603900000005524,49.523523,0.74635,0.984524,0.730019,-276.71991,0.707058,0.0
0.06189200000062556,49.506582,0.75988,1.0051519999999998,0.750875,-277.349152,-0.6127830000000003,0.0
0.06705400000009831,49.530609999999996,0.69734,1.004036,0.755185,-277.656769,-0.8484690000000006,0.0
0.07303899999988062,49.524533999999996,0.629447,0.9752569999999999,0.763807,-277.363129,0.707058,0.0
0.07805400000052032,49.483404,0.724449,1.004786,0.709827,-276.524139,0.37709799999999927,0.0
0.08307400000012422,49.52699,0.671935,0.990999,0.741555,-277.726685,-1.1784290000000004,0.0
0.08903900000041176,49.549406,0.599029,1.000929,0.712026,-278.006317,-0.3299600000000007,0.0
0.09405400000014197,49.530752,0.679235,0.989428,0.715866,-276.803802,0.4713729999999998,0.0
0.10005400000045483,49.485704,0.652176,0.954419,0.7382390000000001,-276.663971,0.7541959999999994,0.0
0.10517200000049343,49.5109,0.638889,0.976967,0.749985,-277.880493,1.0841559999999992,0.0
0.1110530000005383,49.567838,0.699336,0.967473,0.652776,-277.544891,1.037019,0.0
0.11705400000028021,49.533184999999996,0.723038,0.975379,0.722271,-276.468231,0.04713799999999946,0.0
