Time(s),P_N2_Tank(bar),P_Ox_Tank(bar),P_Fuel_Tank(bar),T_Ox_Tank(C)
0.0008927421569824218,222.08902,46.481312,46.78252,3.703125
0.00775474214553833,222.083282,46.47047,46.774349,3.703125
0.014816742181777955,222.136429,46.480148,46.782753,3.703125
0.02175474214553833,222.095749,46.48658,46.788967,3.703125
0.02875474214553833,222.04538,46.470955,46.773685,3.703125
0.03527574205398559,222.126389,46.479557,46.785007,3.703125
0.04175474214553833,222.111649,46.487404,46.792156,3.703125
0.04875474214553833,222.08252,46.476475,46.775658,3.703125
0.05575474214553833,222.085861,46.487137,46.778023,3.703125
0.06352774214744568,222.067581,46.484001,46.782501,3.703125
0.07075474214553833,222.053497,46.4692,46.779598,3.835938
0.07777774214744568,222.114456,46.478733,46.788162,3.835938
0.08475474214553833,222.074188,46.473412,46.789238,3.835938
0.09193574213981628,222.058868,46.49683,46.797283,3.835938
0.09876174211502076,222.106873,46.472496,46.790009,3.835938
0.10575474214553833,222.093216,46.452969,46.777287,3.835938
0.11275474214553834,222.040115,46.453396,46.770836,3.835938
0.11975474214553833,222.075058,46.475864,46.778217,3.835938
0.12597174215316773,222.111771,46.47823,46.779598,3.835938
0.13275474214553834,222.001465,46.465672,46.773579,3.835938
0.13975474214553832,222.068649,46.484501,46.793663,3.835938
0.14720074200630187,222.093704,46.479591,46.783306,3.835938
0.15375474214553833,222.089722,46.478268,46.780636,3.835938
0.16075474214553834,222.081985,46.485756,46.795456,3.835938
0.16775474214553834,222.061401,46.470184,46.779526,3.835938
0.17475474214553832,222.100693,46.484413,46.791138,3.835938
0.18175474214553833,222.115097,46.483532,46.804611,3.835938
0.18920074200630188,222.099884,46.460888,46.793629,3.835938
0.19599674201011658,222.192932,46.526875,46.833298,3.882812
0.20275474214553832,222.04393,46.435642,46.784149,3.882812
0.2098177421092987,222.089249,46.476097,46.791405,3.882812
0.21675474214553833,222.036453,46.443508,46.760139,3.882812
0.22375474214553834,222.076019,46.49844,46.799164,3.882812
0.23075474214553832,222.064621,46.459705,46.798481,3.882812
0.23775474214553832,222.067688,46.453739,46.776909,3.882812
0.24475474214553833,222.011459,46.458843,46.750771,3.882812
0.25175474214553833,222.032913,46.502132,46.774204,3.882812
0.25875474214553834,222.052856,46.407814,46.806816,3.882812
0.26575474214553835,222.081131,46.413406,46.814072,3.882812
0.27275474214553835,222.029907,46.488319,46.808372,3.882812
0.2797547421455383,221.966095,46.446175,46.76944,3.882812
0.2867547421455383,221.980606,46.418621,46.768238,3.882812
0.2937547421455383,221.993408,46.467659,46.801205,3.882812
0.3007547421455383,223.617355,46.630188,46.89056,3.882812
0.30775474214553833,222.131866,46.423904,46.845013,3.882812
0.3145457420349121,222.120682,46.476654,46.813408,3.882812
0.32086074209213256,222.113434,46.468018,46.788002,3.882812
0.32775474214553835,222.03801,46.444744,46.810432,3.882812
0.3348457419872284,222.034897,46.46291,46.790348,3.882812
0.3417547421455383,221.726685,46.451317,46.788486,3.882812
0.3487547421455383,222.04538,46.461426,46.781391,3.882812
0.3557587420940399,222.569031,46.458504,46.770962,3.882812
0.3628417420387268,222.06839,46.474899,46.787392,3.882812
0.36975474214553833,222.014038,46.454399,46.781425,3.882812
0.37675474214553833,222.077423,46.462357,46.78759,3.882812
0.38375474214553834,221.753235,46.35136,46.66,3.882812
0.39075974202156066,221.70105,46.402691,46.73502,3.882812
0.39775474214553835,222.201263,46.374668,46.701588,3.882812
0.4048417420387268,222.024521,46.499516,46.792946,3.8125
0.41181674218177794,221.993942,46.474648,46.78336,3.8125
0.41796074199676514,222.078979,46.474236,46.784348,3.8125
0.42489974212646486,222.033279,46.475632,46.783718,3.8125
0.43184174203872683,222.042908,46.467552,46.791031,3.8125
0.43875474214553833,222.041992,46.477173,46.790527,3.8125
0.4458357419967651,222.030334,46.473751,46.788414,3.8125
0.45275474214553835,222.012802,46.474773,46.797371,3.8125
0.45975474214553835,222.049835,46.462231,46.788845,3.8125
0.4667547421455383,222.05661,46.476761,46.792408,3.8125
0.4737547421455383,222.066345,46.465546,46.78791,3.8125
0.48081774210929873,222.029251,46.472713,46.798286,3.8125
0.4878417420387268,222.021133,46.465759,46.79092,3.796875
0.49475474214553833,222.079559,46.476707,46.797123,3.796875
0.5017547421455383,222.028931,46.479572,46.794666,3.796875
0.5087547421455383,222.01474,46.467175,46.793217,3.796875
0.5157547421455383,222.042313,46.467266,46.79121,3.796875
0.522816742181778,222.019745,46.462677,46.793232,3.796875
0.5298417420387268,222.031937,46.468517,46.798447,3.796875
0.536816742181778,222.058609,46.458988,46.792786,3.796875
0.5437547421455383,222.006897,46.450047,46.785709,3.796875
0.5509467420578003,222.051025,46.463898,46.807529,3.796875
0.5573907420635223,222.054459,46.473484,46.803802,3.796875
0.5637547421455383,222.020065,46.466602,46.793091,3.796875
0.5712257421016693,221.988617,46.469646,46.793037,3.796875
0.5777547421455383,222.051407,46.477119,46.797821,3.820312
0.5847547421455384,222.022324,46.465508,46.794559,3.820312
0.5911987421512603,221.958298,46.46954,46.795403,3.820312
0.5977547421455384,222.042587,46.477566,46.799736,3.820312
0.6047547421455384,222.048447,46.473537,46.797211,3.820312
0.6117587420940399,221.978134,46.470383,46.797085,3.820312
0.6187547421455384,222.067413,46.481224,46.797676,3.820312
0.6257547421455383,222.016144,46.473785,46.804039,3.820312
0.6327547421455383,222.007706,46.473232,46.80574,3.820312
0.6397547421455383,222.01152,46.493835,46.804234,3.820312
0.6467547421455383,221.990234,46.478336,46.78904,3.820312
