Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector(bar),P_Ox_Injector(bar),Fuel_Flow_Rate(L/s),Ox_Valve_Angle(deg),Fuel_Valve_Angle(deg),P_Angle(deg),I_Angle(deg),P_Ox_Tank(bar),P_N2_Tank(bar),Ox_Mass(kg),Thrust(N)
-0.9993847656251091,48.479473,1.017226,1.078264,1.065053,0.0,0.0,0.0,0.0,0.0,47.762302,207.572128,5.747117940876655,28.140903
-0.9926296386720423,48.486542,1.024817,1.010742,1.097654,0.0,0.0,0.0,0.0,0.0,47.71611,207.705811,5.721461060142711,28.753687
-0.9873457031253565,48.523048,1.009407,0.989206,1.106799,0.0,0.0,0.0,0.0,0.0,47.684624,207.699249,5.678700713557594,29.272198
-0.9814907226564173,48.487991,1.031502,0.986833,1.095594,0.0,0.0,0.0,0.0,0.0,47.698082,207.670441,5.682976554536188,29.177923
-0.9754887695316938,48.481262,1.012653,1.054407,1.094635,0.0,0.0,0.0,0.0,0.0,47.709686,207.687836,5.722887359836901,28.989374
-0.9697497558599935,48.490795,1.053945,1.040533,1.08912,0.0,0.0,0.0,0.0,0.0,47.713509,207.734558,5.680125484199794,29.507883
-0.9634606933595933,48.474709,0.995707,1.01987,1.09617,0.0,0.0,0.0,0.0,0.0,47.78508,207.681915,5.714334046890927,30.167803
-0.9573918457035688,48.461857,1.041816,1.047811,1.079818,0.0,0.0,0.0,0.0,0.0,47.756405,207.54834,5.7499690112130475,29.979254
-0.9516499023438882,48.486237,1.058901,1.101598,1.10097,0.0,0.0,0.0,0.0,0.0,47.767086,207.718292,5.664446687054025,29.932117
-0.9464907226565629,48.530521,1.029442,1.029957,1.115961,0.0,0.0,0.0,0.0,0.0,47.703403,207.696945,5.708633435270131,30.40349
-0.940504882813002,48.454857,0.983979,1.06336,1.1346,0.0,0.0,0.0,0.0,0.0,47.711571,207.528488,5.731439143730886,29.36647
-0.9354848632819994,48.47007,0.995219,1.103745,1.116921,0.0,0.0,0.0,0.0,0.0,47.704082,207.67572,5.721461060142711,28.800825
-0.9304477539062646,48.499523,1.023997,1.083046,1.099783,0.0,0.0,0.0,0.0,0.0,47.698536,207.723251,5.727163302752293,29.130785
-0.9250197753908651,48.521881,1.009686,1.063552,1.104163,0.0,0.0,0.0,0.0,0.0,47.634766,207.709915,5.714334046890927,29.413609
-0.9187897949223043,48.458782,0.982426,1.089661,1.082854,0.0,0.0,0.0,0.0,0.0,47.749844,207.529388,5.720036289500508,28.612276
-0.913489013672006,48.457603,1.011449,1.067113,1.081179,0.0,0.0,0.0,0.0,0.0,47.738064,207.693161,5.715760346585117,29.130785
-0.9076408691407778,48.52845,1.003438,1.109259,1.092889,0.0,0.0,0.0,0.0,0.0,47.713577,207.710663,5.678700713557594,30.827724
-0.9025048828125364,48.496895,1.004765,1.036589,1.079154,0.0,0.0,0.0,0.0,0.0,47.664066,207.680634,5.754244852191641,30.309216
-0.8974899902350444,48.456089,1.017592,1.031667,1.061598,0.0,0.0,0.0,0.0,0.0,47.704887,207.53595,5.708633435270131,29.460745
-0.8914848632812209,48.488689,1.030472,1.016693,1.13645,0.0,0.0,0.0,0.0,0.0,47.768097,207.743515,5.695805708460754,29.177923
-0.8864619140631476,48.515034,1.016685,1.014215,1.101354,0.0,0.0,0.0,0.0,0.0,47.756634,207.740326,5.678700713557594,28.847961
-0.8804899902343095,48.449631,1.029111,0.992906,1.087374,0.0,0.0,0.0,0.0,0.0,47.750141,207.528656,5.73714138634047,29.932117
-0.8753920898443539,48.475983,1.031676,0.989992,1.116362,0.0,0.0,0.0,0.0,0.0,47.748867,207.663666,5.68725239551478,30.639175
-0.8695000000006985,48.488419,1.031362,1.020812,1.118544,0.0,0.0,0.0,0.0,0.0,47.738972,207.687408,5.680125484199794,28.847961
-0.8644521484375218,48.488091,0.997801,1.024076,1.112401,0.0,0.0,0.0,0.0,0.0,47.71883,207.682068,5.717185219164119,29.130785
-0.8584870605473043,48.469776,1.045132,1.044704,1.130551,0.0,0.0,0.0,0.0,0.0,47.700577,207.542038,5.745693170234454,30.592039
-0.852491210937842,48.467007,1.019617,0.998526,1.08884,0.0,0.0,0.0,0.0,0.0,47.709877,207.739471,5.691528338430172,29.743568
-0.8457390136718459,48.494614,1.016912,0.991283,1.089137,0.0,0.0,0.0,0.0,0.0,47.757347,207.692688,5.681551783893984,29.03651
-0.8393520507815992,48.449894,1.030786,1.020027,1.100847,0.0,0.0,0.0,0.0,0.0,47.707417,207.538467,5.720036289500508,29.649294
-0.8333920898439828,48.464455,1.030821,1.021685,1.090603,0.0,0.0,0.0,0.0,0.0,47.709999,207.707306,5.688678797145768,31.016273
-0.8267260742195504,48.49902,1.045271,1.097514,1.111755,0.0,0.0,0.0,0.0,0.0,47.718655,207.693054,5.692954638124362,29.602158
-0.8214902343752328,48.471478,1.013264,1.097532,1.082819,0.0,0.0,0.0,0.0,0.0,47.684486,207.680145,5.711484505606523,28.753687
-0.81549121093758,48.459099,1.041659,1.039364,1.11535,0.0,0.0,0.0,0.0,0.0,47.706997,207.664246,5.714334046890927,30.497765
-0.8094912109381767,48.467072,1.030856,1.054215,1.122698,0.0,0.0,0.0,0.0,0.0,47.702827,207.735779,5.697230581039756,28.329453
-0.8044763183597752,48.472832,1.03309,1.011789,1.10631,0.0,0.0,0.0,0.0,0.0,47.703701,207.670761,5.712909276248727,29.555019
-0.711951416015836,48.497494,1.046702,1.073465,1.088474,0.0,0.0,0.0,0.0,0.0,47.746998,207.729218,5.724312130479104,26.01973
-0.7064904785156614,48.509502,1.044224,1.075839,1.102314,0.0,0.0,0.0,0.0,0.0,47.761852,207.666122,5.718611518858308,26.161142
-0.7005976562504657,48.461128,1.023648,1.081144,1.093011,0.0,0.0,0.0,0.0,0.0,47.716911,207.491516,5.715760346585117,26.349691
-0.5634880371098916,48.463856,1.031484,1.039783,1.078369,0.0,0.0,0.0,0.0,0.0,47.717785,207.6763,5.734290214067278,27.009611
-0.5576350097662726,48.538342,0.989215,1.050114,1.095804,0.0,0.0,0.0,0.0,0.0,47.725166,207.613464,5.707208664627931,25.642633
-0.552466064453256,48.403046,0.997452,1.106869,1.089172,0.0,0.0,0.0,0.0,0.0,47.703751,207.944794,5.678700713557594,26.53824
-0.4097915039064901,48.477783,1.061798,1.046257,1.071162,0.384263,0.0,0.0,0.0,0.0,47.685028,207.790192,5.701506422018349,26.443966
-0.4043654785164108,48.513878,1.020838,1.008962,1.103448,0.384263,0.0,0.0,0.0,0.0,47.708553,207.697968,5.691528338430172,25.878319
-0.3984914550783287,48.43605,1.028709,1.022104,1.0861,0.384263,0.0,0.0,0.0,0.0,47.719929,207.530884,5.728588073394496,25.02985
-0.25849194335933134,48.458225,1.021501,0.998404,1.020882,0.741967,61.830652240788126,65.08489709556645,0.0,0.0,47.679214,207.528961,5.417859327217126,23.002951
-0.25249291992258804,48.601845,0.784292,0.829275,1.049818,0.741967,66.20932404955019,69.694025315316,0.0,0.0,46.700184,206.795212,4.021003567787971,23.52146
-0.1123413085942957,48.507614,1.031886,1.040673,1.099207,0.136112,95.0,100.0,0.0,0.0,47.759407,207.686066,5.724312130479104,25.124125
-0.10643334960968787,48.492214,1.030402,1.12186,1.080271,0.136112,95.0,100.0,0.0,0.0,47.725307,207.581406,5.728588073394496,25.736908
-0.1005432128913526,48.477127,1.030838,1.075088,1.066641,0.136112,95.0,100.0,0.0,0.0,47.787033,207.654709,5.722887359836901,24.134243
0.033766357421882276,48.492203,0.996545,1.090952,1.188911,0.01062,95.0,100.0,0.0,0.0,47.6548,207.675873,5.577499592252803,23.380047
0.03891235351511568,48.222393,1.026842,1.061633,1.206206,0.01062,95.0,100.0,0.0,0.0,47.688046,207.575638,5.597455759429155,23.050087
0.04450634765544237,48.151398,0.997121,1.10549,1.242681,0.0,95.0,100.0,0.0,0.0,47.68309,207.714188,5.536164016309886,23.851419
0.05051318359346624,47.790779,0.977644,1.112052,1.3442,0.0,95.0,100.0,0.0,0.0,47.678497,207.808441,5.52333628950051,22.390167
0.05650830078047875,47.562233,0.983508,1.119783,1.354043,0.0,95.0,100.0,0.0,0.0,47.681377,207.645477,5.483425484199796,22.201618
0.06233911132767389,47.037338,1.006248,1.048491,1.551461,0.0,95.0,100.0,0.0,0.0,47.617104,207.578903,5.470597859327216,21.871658
0.06749218749973807,47.05069,1.031152,1.066292,1.671044,0.004732,95.0,100.0,0.0,0.0,47.563698,207.70549,5.500530581039755,20.080444
0.0725090332025502,46.85202,1.02754,1.034198,1.844692,0.004732,95.0,100.0,0.0,0.0,47.59396,207.770782,5.454919062181447,18.053545
0.07796923828118452,46.529961,1.03035,1.009364,2.251781,0.009999,95.0,100.0,0.0,0.0,47.608116,207.591064,5.466322018348623,22.060205
0.08353222656205617,46.341808,1.031606,1.04055,2.456861,0.009999,95.0,100.0,0.0,0.0,47.523594,207.591171,5.501955351681958,20.080444
0.08854321288981737,46.252823,1.003718,1.037584,2.692569,0.015438,95.0,100.0,0.0,0.0,47.507851,207.716049,5.494828338430174,19.279112
0.094506103515414,46.052547,1.032583,1.101458,3.103671,0.015438,95.0,100.0,0.0,0.0,47.463646,207.692474,5.466322018348623,17.912134
0.10049218749918509,45.962845,1.027156,1.069364,3.348804,0.020913,95.0,100.0,0.0,0.0,47.406227,207.635971,5.460619775739041,17.252213
0.10595410156201979,45.725159,1.011798,1.156974,3.817306,0.020913,95.0,100.0,0.0,0.0,47.333714,207.64888,5.416434556574923,17.723585
0.11150708007789945,45.731277,1.01672,1.124582,4.038756,0.031064,95.0,100.0,0.0,0.0,47.291515,207.601196,5.405031702344545,16.215195
0.11751806640586437,45.548695,1.015131,1.162872,4.409387,0.031064,95.0,100.0,0.0,0.0,47.238216,207.570786,5.429262283384302,13.009865
0.12444409179624927,45.512459,1.030978,1.206328,4.590086,0.040745,95.0,100.0,0.0,0.0,47.162823,207.623764,5.439240366972476,19.561935
0.12968188476497744,45.502808,0.999355,1.181058,4.975412,0.040745,95.0,100.0,0.0,0.0,47.103973,207.743088,5.482000713557594,6.834893
0.1351440429680224,45.421883,1.012252,1.208143,5.217106,0.050298,95.0,100.0,0.0,0.0,47.143539,207.658859,5.472022629969419,11.171515
0.14050805664010113,45.45203,1.046894,1.176956,5.414141,0.050298,95.0,100.0,0.0,0.0,47.037395,207.581085,5.447792150866461,17.487898
0.14715087890544964,45.347633,1.037034,1.188876,5.838036,0.060809,95.0,100.0,0.0,0.0,46.971462,207.693329,5.3850755351681965,3.393878
0.15260498046882276,45.318371,1.030769,1.197375,6.090219,0.060809,95.0,100.0,0.0,0.0,46.869488,207.759521,5.300979510703364,9.144615
0.1581269531243379,45.238525,1.0622,1.166468,6.509559,0.075133,95.0,100.0,0.0,0.0,46.736835,207.580017,5.362269826707442,12.679905
0.1637329101558862,45.209587,1.041013,1.217533,6.681357,0.075133,95.0,100.0,0.0,0.0,46.721512,207.580338,5.367971967380225,-0.612783
0.16878076171815337,45.266918,1.053177,1.214862,6.902616,0.084648,95.0,100.0,0.0,0.0,46.663658,207.702225,5.353718042813455,0.801332
0.17451293945305224,45.247559,1.037662,1.230168,7.423998,0.084648,95.0,100.0,0.0,0.0,46.517025,207.583481,5.510507135575943,11.171515
0.1796447753904431,45.158672,1.05925,1.236852,7.603703,0.090886,95.0,100.0,0.0,0.0,46.448963,207.528763,5.702931192660549,-1.461253
0.18523974609342986,45.182659,1.102567,1.184949,7.882343,0.090886,95.0,100.0,0.0,0.0,46.37994,207.603226,5.808408154943933,6.222109
0.19051391601533396,45.240131,1.078744,1.224269,8.077807,0.096737,95.0,100.0,0.0,0.0,46.235157,207.65358,5.787028746177368,7.447677
0.19649169921831344,45.249619,1.064783,1.245159,8.234545,0.096737,95.0,100.0,0.0,0.0,46.066776,207.528488,5.718611518858308,-7.683362
0.20150878906224534,45.281414,1.080507,1.210621,8.486152,0.101502,95.0,100.0,0.0,0.0,45.945557,207.424255,5.355142813455657,3.111055
0.20662573242134386,45.359776,1.113963,1.24132,8.660673,0.101502,95.0,100.0,0.0,0.0,45.91634,207.505341,5.155591743119267,0.235686
0.21167480468739086,45.391624,1.112532,1.283135,8.90413,0.106583,95.0,100.0,0.0,0.0,45.837299,207.588028,5.050114780835882,-11.171515
0.21750683593745634,45.443798,1.098745,1.220011,9.343505,0.106583,95.0,100.0,0.0,0.0,45.686707,207.30188,5.071495718654434,1.885488
0.22350561523398937,45.493053,1.109757,1.269243,9.563577,0.107815,95.0,100.0,0.0,0.0,45.633389,207.3125,5.315233537206931,-2.828232
0.23013574218748545,45.65667,1.106999,1.240936,10.056024,0.107815,95.0,100.0,0.0,0.0,45.467941,207.387817,5.601731702344547,-25.878319
0.23556958007793583,45.689621,1.133492,1.282402,10.357544,0.107568,95.0,100.0,0.0,0.0,45.379738,207.267532,5.648767889908256,-8.578969
0.24154174804607464,45.682934,1.143876,1.324863,10.879991,0.107568,95.0,100.0,0.0,0.0,45.253403,207.121796,5.700081651376146,-27.905218
0.24752368163990468,45.713638,1.139809,1.309749,11.148858,0.112395,95.0,100.0,0.0,0.0,45.220421,207.120193,5.624537410805301,-33.655956
0.25328564453047875,45.690853,1.181607,1.32434,11.571199,0.112395,95.0,100.0,0.0,0.0,45.040714,207.063751,5.44066513761468,-20.174719
0.2585065917965039,45.732933,1.169338,1.324758,11.860678,0.111406,95.0,100.0,0.0,0.0,45.036633,206.93924,5.205480632008155,-29.22506
0.26449169921852445,45.785431,1.20337,1.326678,12.10328,0.111406,95.0,100.0,0.0,0.0,44.956318,206.892349,5.135637104994902,-32.948898
0.26950659179692593,45.857445,1.226442,1.333886,12.601329,0.107626,95.0,100.0,0.0,0.0,44.820293,206.928207,5.268195718654435,-23.568596
0.27514843749941065,45.789688,1.201607,1.326748,12.789062,0.107626,95.0,100.0,0.0,0.0,44.743576,206.771103,5.22686004077472,-37.851166
0.28050659179643844,45.795597,1.219252,1.389994,13.034404,0.109345,95.0,100.0,0.0,0.0,44.627117,206.666916,5.476298470948012,-46.335861
0.28597363281187427,45.857105,1.209478,1.433398,13.481475,0.109345,95.0,100.0,0.0,0.0,44.43708,206.605515,5.754244852191641,-26.161142
0.29159741210878565,45.811588,1.231293,1.401234,13.616973,0.108821,95.0,100.0,0.0,0.0,44.367691,206.626434,5.782752905198776,-47.137192
0.29719946289060317,45.961155,1.241311,1.434672,13.977761,0.108821,95.0,100.0,0.0,0.0,44.238632,206.298141,5.732863914373088,-37.662617
0.30250952148435317,45.902222,1.268624,1.433136,14.1375,0.10816,95.0,100.0,0.0,0.0,44.221092,206.179291,5.624537410805301,-36.814148
0.30868652343724534,45.872749,1.286355,1.411199,14.303156,0.10816,95.0,100.0,0.0,0.0,44.105663,206.209976,5.52190998980632,-49.871151
0.31411547851530486,45.854084,1.269933,1.433119,14.680418,0.10716,95.0,100.0,0.0,0.0,43.985088,206.085831,5.308106523955149,-40.915085
0.3195153808592295,45.793396,1.327525,1.461688,14.780018,0.10716,95.0,100.0,0.0,0.0,43.850147,205.93428,5.243965137614678,-40.349438
0.3255324707024556,45.646961,1.294435,1.420728,15.080526,0.107557,95.0,100.0,0.0,0.0,43.698593,205.834579,5.44208990825688,-54.773418
0.33152343749952706,45.723717,1.30166,1.431338,15.219689,0.107557,95.0,100.0,0.0,0.0,43.652222,205.792755,5.653043832823648,-32.006153
0.33655346679643117,45.71883,1.276582,1.428319,15.331435,0.109492,95.0,100.0,0.0,0.0,43.559971,205.629471,5.804132313965341,-50.908169
