Time(s),P_Fuel_Tank(bar),P_Chamber(bar),P_Fuel_Injector(bar),P_Ox_Injector(bar),Fuel_Flow_Rate(L/s),Ox_Valve_Angle(deg),Fuel_Valve_Angle(deg),P_Angle(deg),I_Angle(deg),P_Ox_Tank(bar),P_N2_Tank(bar),Ox_Mass(kg),Thrust(N)
-0.7924996093747723,49.121483,1.047121,1.056222,1.13624,0.0,0.0,0.0,0.0,0.0,48.311314,187.548965,6.035040876656474,28.706551
-0.786206640625096,49.088795,1.065202,1.051283,1.105193,0.0,0.0,0.0,0.0,0.0,48.248329,187.381989,6.076376452599388,22.955812
-0.7800987304685805,49.063805,1.060455,1.070306,1.11823,0.0,0.0,0.0,0.0,0.0,48.276112,187.465042,6.040743017329256,24.417067
-0.7744996093747432,49.109669,1.031833,1.070027,1.127183,0.0,0.0,0.0,0.0,0.0,48.264332,187.512466,6.019362079510702,22.578716
-0.7694808105466109,49.078552,1.047819,1.051249,1.106554,0.0,0.0,0.0,0.0,0.0,48.280598,187.493698,6.062124057084607,21.635971
-0.7626578125000378,49.083973,1.094818,1.03329,1.098352,0.0,0.0,0.0,0.0,0.0,48.223145,187.477951,6.0649735983690105,24.841301
-0.7573287109375997,49.079914,1.082514,1.122349,1.123675,0.0,0.0,0.0,0.0,0.0,48.235695,187.508255,6.072100611620795,22.390167
-0.7513868164060113,49.055428,1.079914,1.084722,1.153658,0.0,0.0,0.0,0.0,0.0,48.26915,187.476151,6.099182161060142,22.672989
-0.7459427246094492,49.099255,1.038011,1.113081,1.124408,0.0,0.0,0.0,0.0,0.0,48.239269,187.398575,6.086354536187562,27.151024
-0.7404788574217491,49.082272,1.048447,1.042488,1.087601,0.0,0.0,0.0,0.0,0.0,48.244263,187.447495,6.070675739041793,22.578716
-0.7347879394528718,49.075092,1.048064,1.068823,1.10617,0.0,0.0,0.0,0.0,0.0,48.252274,187.376068,6.039318246687054,26.302553
-0.7294849609374978,49.071972,1.033351,1.035472,1.111127,0.0,0.0,0.0,0.0,0.0,48.280701,187.44072,6.089205606523954,25.878319
-0.724462011718515,49.045448,1.048971,1.099556,1.125019,0.0,0.0,0.0,0.0,0.0,48.292046,187.451553,6.0464437308868515,22.437304
-0.7178050292968692,49.12854,1.045463,1.064931,1.12104,0.0,0.0,0.0,0.0,0.0,48.219234,187.3918,6.09490632008155,24.558477
-0.7124849609372177,49.075138,1.033648,0.993273,1.090464,0.0,0.0,0.0,0.0,0.0,48.219883,187.425995,6.087779306829765,25.02985
-0.7063399414059859,49.097782,1.050175,1.053325,1.140603,0.0,0.0,0.0,0.0,0.0,48.229183,187.441788,6.090630377166158,23.474321
-0.7009170898436423,49.096046,1.053264,1.075699,1.137427,0.0,0.0,0.0,0.0,0.0,48.312359,187.469849,6.057848114169215,25.124125
-0.6951360839843801,49.099045,1.036894,1.086729,1.103378,0.0,0.0,0.0,0.0,0.0,48.233528,187.411118,6.057848114169215,23.898558
-0.6894839843748741,49.108112,1.052165,1.079434,1.055681,0.0,0.0,0.0,0.0,0.0,48.254646,187.504471,6.026489092762486,23.285774
-0.683483984375016,49.090122,1.071135,1.030603,1.082819,0.0,0.0,0.0,0.0,0.0,48.196636,187.401627,6.0963326197757395,25.454084
-0.678449072265721,49.094116,1.032915,1.087183,1.136886,0.0,0.0,0.0,0.0,0.0,48.308102,187.498703,6.076376452599388,21.730246
-0.6733030761715781,49.104229,1.033282,1.072645,1.123692,0.0,0.0,0.0,0.0,0.0,48.2103,187.381348,6.097757390417939,22.814402
-0.6673992675782756,49.100857,1.047365,1.035175,1.113972,0.0,0.0,0.0,0.0,0.0,48.16433,187.479874,6.07922752293578,25.501221
-0.6614932617185332,49.078312,1.054067,1.069975,1.151843,0.0,0.0,0.0,0.0,0.0,48.248993,187.440033,6.045018960244648,23.285774
-0.6557022460938242,49.109116,1.066842,1.050743,1.137829,0.0,0.0,0.0,0.0,0.0,48.300858,187.556534,6.035040876656474,23.474321
-0.65015219726547,49.1022,1.032898,1.052278,1.134425,0.0,0.0,0.0,0.0,0.0,48.1903,187.489273,6.07922752293578,24.228518
-0.6445003417966291,49.194477,1.079059,1.036135,1.13816,0.0,0.0,0.0,0.0,0.0,48.217789,187.59169,6.033616106014271,23.945694
-0.6394852050780173,49.086613,1.043212,1.007042,1.091598,0.0,0.0,0.0,0.0,0.0,48.214752,187.433411,6.053570744138633,23.002951
-0.6344632324216946,49.121136,1.038971,1.072104,1.1172,0.0,0.0,0.0,0.0,0.0,48.262989,187.549332,6.045018960244648,25.548359
-0.629315283203141,49.111057,1.093212,1.068648,1.113692,0.0,0.0,0.0,0.0,0.0,48.204575,187.496368,6.086354536187562,24.605616
-0.6234854492186059,49.087429,1.03644,1.018578,1.136502,0.0,0.0,0.0,0.0,0.0,48.245083,187.385406,6.0963326197757395,23.1915
-0.6182894042967746,49.112736,1.034416,1.018543,1.137392,0.0,0.0,0.0,0.0,0.0,48.244072,187.513855,6.086354536187562,24.652752
-0.613201513671811,49.116772,1.058797,1.015105,1.158649,0.0,0.0,0.0,0.0,0.0,48.245884,187.527084,6.050721100917431,24.652752
-0.6074773925779482,49.089558,1.03391,1.027741,1.149748,0.0,0.0,0.0,0.0,0.0,48.244595,187.424561,6.092056778797146,23.1915
-0.6014854492186714,49.065365,1.081292,1.067374,1.07809,0.0,0.0,0.0,0.0,0.0,48.239391,187.484573,6.072100611620795,25.124125
-0.5954615234372795,49.092884,1.070542,1.019207,1.123902,0.0,0.0,0.0,0.0,0.0,48.195396,187.504898,6.049294801223241,23.144361
-0.58859750976535,49.100258,1.052304,1.025821,1.071231,0.0,0.0,0.0,0.0,0.0,48.311905,187.423599,6.087779306829765,23.097225
-0.5833846191403609,49.069824,1.03199,1.069853,1.11275,0.0,0.0,0.0,0.0,0.0,48.299095,187.333817,6.07922752293578,25.501221
-0.576665624999805,49.090984,1.050908,1.013081,1.103099,0.0,0.0,0.0,0.0,0.0,48.249828,187.482651,6.117712028542305,22.107344
-0.5714256347655464,49.102917,1.018011,1.087671,1.082418,0.0,0.0,0.0,0.0,0.0,48.300667,187.517532,6.0649735983690105,23.615734
-0.5655997070311969,49.098698,1.034015,1.085874,1.086676,0.0,0.0,0.0,0.0,0.0,48.276131,187.458267,6.053570744138633,23.380047
-0.5605005859374614,49.098064,1.032985,1.05638,1.108125,0.0,0.0,0.0,0.0,0.0,48.247036,187.39415,6.0649735983690105,23.945694
-0.5546397460934713,49.07769,1.043439,1.078038,1.129748,0.0,0.0,0.0,0.0,0.0,48.283249,187.515732,6.072100611620795,25.076986
-0.5494856933592018,49.088249,1.032706,1.074722,1.118876,0.0,0.0,0.0,0.0,0.0,48.27737,187.442642,6.106309174311927,23.427185
-0.5433448242188206,49.064075,1.061484,1.020603,1.109783,0.0,0.0,0.0,0.0,0.0,48.178818,187.54982,6.029340163098879,23.380047
-0.5374856933594856,49.039326,1.031711,1.053901,1.10467,0.0,0.0,0.0,0.0,0.0,48.281452,187.443283,6.093481549439346,24.511341
-0.5324646972653682,49.09116,1.032426,1.02994,1.115752,0.0,0.0,0.0,0.0,0.0,48.266006,187.418854,6.104884403669724,24.181379
-0.5264747070309568,49.167896,0.976039,1.108265,1.22837,0.0,0.0,0.0,0.0,0.0,48.278904,187.759506,6.032191335372068,25.925457
